,train,val,test
Normal_1,True,False,False
Normal_4,True,False,False
Normal_5,True,False,False
Normal_6,True,False,False
Normal_7,True,False,False
Normal_8,True,False,False
Normal_9,True,False,False
Tumor_1,True,False,False
Tumor_2,True,False,False
Tumor_11,True,False,False
NCC_1,True,False,False
NCC_2,True,False,False
NCC_4,True,False,False
NCC_5,True,False,False
NCC_7,True,False,False
NCC_8,True,False,False
NCC_9,True,False,False
Tumor_3,True,False,False
NCC_11,True,False,False
Tumor_4,True,False,False
Tumor_6,True,False,False
Normal_2,False,True,False
NCC_6,False,True,False
Tumor_5,False,True,False
Normal_3,False,False,True
NCC_3,False,False,True
NCC_10,False,False,True
